review,sentiment
the game is frustrating. It failed to meet even my lowest expectations.,negative
"Somewhat satisfied with the game. It was worth the price, but just barely.",neutral
this hotel has its pros and cons. It had a mix of useful and pointless features.,neutral
Best album I've ever used. I couldn't ask for anything better.,positive
One star for the experience. There were too many issues to count.,negative
Three stars for the movie. The experience had both high and low points.,neutral
Worst game I've ever listened to. I was completely dissatisfied with everything.,negative
"Mixed feelings about the restaurant. Some parts were well executed, others weren't.",neutral
the game is mediocre at best. It was neither impressive nor disappointing.,neutral
"Middle-of-the-road film. Some parts were well executed, others weren't.",neutral
"Middle-of-the-road device. It was worth the price, but just barely.",neutral
Awful experience with this app. There was a clear lack of attention to detail.,negative
the experience exceeded my expectations. It had amazing features.,positive
the documentary was terrible. The performance was disappointing.,negative
the game didn't wow me but wasn't terrible. It was functional but not exceptional.,neutral
the album fell short of expectations. The experience was frustrating from start to finish.,negative
Awful experience with this app. The performance was disappointing.,negative
Somewhat satisfied with this app. It had a mix of useful and pointless features.,neutral
this film was terrible. I was completely dissatisfied with everything.,negative
Five stars for this show! The experience was flawless from start to finish.,positive
Somewhat satisfied with this hotel. It was neither impressive nor disappointing.,neutral
the game has its pros and cons. The performance was inconsistent.,neutral
I'm indifferent about the experience. It had both pros and cons.,neutral
this hotel exceeded my expectations. The attention to detail was impressive.,positive
the product was fantastic! The performance was outstanding.,positive
I'm very impressed with the movie. I was completely satisfied with everything.,positive
Amazing experience with the service. The experience was flawless from start to finish.,positive
Three stars for the restaurant. It had both pros and cons.,neutral
this show exceeded my expectations. It provided incredible value for the money.,positive
Best restaurant I've ever visited. I was completely satisfied with everything.,positive
Best game I've ever seen. The performance was outstanding.,positive
Three stars for this show. It was neither impressive nor disappointing.,neutral
Five stars for the series! I couldn't ask for anything better.,positive
the experience is frustrating. It failed to meet even my lowest expectations.,negative
this film exceeded my expectations. The performance was outstanding.,positive
I'm very impressed with the documentary. It exceeded all my expectations.,positive
Middle-of-the-road film. The experience had both high and low points.,neutral
the game was terrible. Nothing worked as it should have.,negative
the experience is frustrating. There was a clear lack of attention to detail.,negative
Would not recommend this book. It lacked basic features.,negative
the documentary was average. It was neither impressive nor disappointing.,neutral
One star for the movie. Nothing worked as it should have.,negative
Would not recommend the documentary. There was a clear lack of attention to detail.,negative
Awful experience with this film. Nothing worked as it should have.,negative
the service exceeded my expectations. It had amazing features.,positive
Awful experience with the game. The performance was disappointing.,negative
I really enjoyed the series. It exceeded all my expectations.,positive
I was disappointed by this device. The performance was disappointing.,negative
One star for this show. The quality was poor.,negative
I loved the movie. Every aspect was perfectly executed.,positive
"the product didn't wow me but wasn't terrible. Some aspects were good, others were not.",neutral
I'm very impressed with the game. It provided incredible value for the money.,positive
"the product has its pros and cons. Some aspects were good, others were not.",neutral
the product didn't wow me but wasn't terrible. The performance was inconsistent.,neutral
"the game didn't wow me but wasn't terrible. It was worth the price, but just barely.",neutral
the restaurant was average. It had a mix of useful and pointless features.,neutral
this show is mediocre at best. The experience had both high and low points.,neutral
this app is mediocre at best. It met some expectations but missed others.,neutral
Mixed feelings about this show. It met some expectations but missed others.,neutral
Amazing experience with this hotel. The experience was flawless from start to finish.,positive
"Somewhat satisfied with this show. Some aspects were good, others were not.",neutral
"I'm indifferent about this hotel. Some parts were well executed, others weren't.",neutral
Best album I've ever downloaded. It provided incredible value for the money.,positive
"this hotel is mediocre at best. It was worth the price, but just barely.",neutral
I loved the restaurant. The quality was exceptional.,positive
I really enjoyed the game. The quality was exceptional.,positive
this book fell short of expectations. Nothing worked as it should have.,negative
the product is outstanding. It exceeded all my expectations.,positive
the service is frustrating. There were too many issues to count.,negative
the restaurant is outstanding. It had amazing features.,positive
the experience was average. It had both pros and cons.,neutral
the service is frustrating. The quality was poor.,negative
the movie fell short of expectations. Nothing worked as it should have.,negative
Awful experience with the service. The quality was poor.,negative
"the movie didn't wow me but wasn't terrible. Some parts were well executed, others weren't.",neutral
Three stars for this film. It met some expectations but missed others.,neutral
Awful experience with this book. It failed to meet even my lowest expectations.,negative
"Mixed feelings about this show. Some parts were well executed, others weren't.",neutral
"Somewhat satisfied with the album. Some aspects were good, others were not.",neutral
I regret read the series. It failed to meet even my lowest expectations.,negative
Highly recommend the movie. It exceeded all my expectations.,positive
"Middle-of-the-road restaurant. It was worth the price, but just barely.",neutral
Awful experience with the movie. It was a waste of money.,negative
the product didn't wow me but wasn't terrible. It was neither impressive nor disappointing.,neutral
the experience is outstanding. The quality was exceptional.,positive
this device exceeded my expectations. I was completely satisfied with everything.,positive
the movie fell short of expectations. I was completely dissatisfied with everything.,negative
"the game was average. Some parts were well executed, others weren't.",neutral
Amazing experience with the album. I was completely satisfied with everything.,positive
Awful experience with the movie. The performance was disappointing.,negative
Best device I've ever played. The performance was outstanding.,positive
Mixed feelings about this hotel. It met some expectations but missed others.,neutral
Amazing experience with the product. It provided incredible value for the money.,positive
One star for this book. It was a waste of money.,negative
the movie is frustrating. I was completely dissatisfied with everything.,negative
Five stars for the game! It had amazing features.,positive
Don't waste your time on this hotel. There was a clear lack of attention to detail.,negative
this show is frustrating. There were too many issues to count.,negative
this hotel didn't wow me but wasn't terrible. It had a mix of useful and pointless features.,neutral
"Not bad, not great. the documentary is just okay. It was functional but not exceptional.",neutral
I loved this app. The experience was flawless from start to finish.,positive
Best service I've ever watched. The performance was outstanding.,positive
"Somewhat satisfied with the experience. Some aspects were good, others were not.",neutral
Awful experience with the series. The performance was disappointing.,negative
this show was fantastic! Every aspect was perfectly executed.,positive
Worst experience I've ever downloaded. There were too many issues to count.,negative
Would not recommend this hotel. Nothing worked as it should have.,negative
the game fell short of expectations. Nothing worked as it should have.,negative
Awful experience with the service. The quality was poor.,negative
"this app didn't wow me but wasn't terrible. Some parts were well executed, others weren't.",neutral
Amazing experience with the service. The quality was exceptional.,positive
Mixed feelings about the experience. The experience had both high and low points.,neutral
the product is outstanding. The quality was exceptional.,positive
Don't waste your time on the experience. It failed to meet even my lowest expectations.,negative
One star for this book. Nothing worked as it should have.,negative
