review,sentiment
Awful experience with the movie. The performance was disappointing.,negative
the game is mediocre at best. The experience had both high and low points.,neutral
I was disappointed by the product. There was a clear lack of attention to detail.,negative
Highly recommend the experience. The experience was flawless from start to finish.,positive
Mixed feelings about the album. It was neither impressive nor disappointing.,neutral
the product exceeded my expectations. The quality was exceptional.,positive
"Middle-of-the-road series. Some parts were well executed, others weren't.",neutral
the product has its pros and cons. The experience had both high and low points.,neutral
"Somewhat satisfied with this film. It was worth the price, but just barely.",neutral
the experience didn't wow me but wasn't terrible. It was functional but not exceptional.,neutral
I'm very impressed with the movie. The quality was exceptional.,positive
Worst movie I've ever heard. The performance was disappointing.,negative
the restaurant is outstanding. The quality was exceptional.,positive
Awful experience with the series. The experience was frustrating from start to finish.,negative
the service is frustrating. The experience was frustrating from start to finish.,negative
"the product is mediocre at best. It was worth the price, but just barely.",neutral
Amazing experience with this film. It exceeded all my expectations.,positive
Don't waste your time on the movie. The performance was disappointing.,negative
the documentary was terrible. The experience was frustrating from start to finish.,negative
I loved the service. It had amazing features.,positive
Mixed feelings about this book. The performance was inconsistent.,neutral
I really enjoyed the movie. It had amazing features.,positive
Don't waste your time on the documentary. The experience was frustrating from start to finish.,negative
I'm indifferent about this book. It had both pros and cons.,neutral
"the experience is mediocre at best. Some aspects were good, others were not.",neutral
I really enjoyed this hotel. I was completely satisfied with everything.,positive
Don't waste your time on the restaurant. It failed to meet even my lowest expectations.,negative
"I'm indifferent about this show. Some aspects were good, others were not.",neutral
Worst show I've ever heard. The performance was disappointing.,negative
this film was terrible. The experience was frustrating from start to finish.,negative
Don't waste your time on the service. I was completely dissatisfied with everything.,negative
I regret experienced the experience. The experience was frustrating from start to finish.,negative
the documentary is frustrating. It lacked basic features.,negative
I loved the product. The performance was outstanding.,positive
Five stars for the service! The performance was outstanding.,positive
the product exceeded my expectations. The performance was outstanding.,positive
I loved this device. It had amazing features.,positive
this device is outstanding. The attention to detail was impressive.,positive
Best game I've ever tried. The experience was flawless from start to finish.,positive
I'm very impressed with the series. It provided incredible value for the money.,positive
